date,meantemp,humidity,wind_speed,meanpressure
2017-01-01,15.9130434782609,85.8695652173913,2.74347826086957,59
2017-01-02,18.5,77.2222222222222,2.89444444444444,1018.27777777778
2017-01-03,17.1111111111111,81.8888888888889,4.01666666666667,1018.33333333333
2017-01-04,18.7,70.05,4.545,1015.7
2017-01-05,18.3888888888889,74.9444444444444,3.3,1014.33333333333
2017-01-06,19.3181818181818,79.3181818181818,8.68181818181818,1011.77272727273
2017-01-07,14.7083333333333,95.8333333333333,10.0416666666667,1011.375
2017-01-08,15.6842105263158,83.5263157894737,1.95,1015.55
2017-01-09,14.5714285714286,80.8095238095238,6.54285714285714,1015.95238095238
2017-01-10,12.1111111111111,71.9444444444444,9.36111111111111,1016.88888888889
